,ID,Name,Report,Date,Year,Version,Link
0,IVDN,INNOVATIVE DESIGNS INC,Annual Report - Annual Report,06/23/2017,2017,1,https://www.otcmarkets.com/otcapi/company/financial-report/174794/content
1,IVDN,INNOVATIVE DESIGNS INC,Annual Report - Annual Report,02/09/2017,2017,2,https://www.otcmarkets.com/otcapi/company/financial-report/166180/content
0,HERB,INNOVATIVE DESIGNS INC,Annual Report - Annual Report,02/28/2022,2022,1,https://www.otcmarkets.com/otcapi/company/financial-report/321685/content
1,HERB,INNOVATIVE DESIGNS INC,Annual Report - Annual Report,09/29/2021,2021,1,https://www.otcmarkets.com/otcapi/company/financial-report/305180/content
2,HERB,INNOVATIVE DESIGNS INC,Annual Report - Annual Report,09/24/2021,2021,2,https://www.otcmarkets.com/otcapi/company/financial-report/304061/content
0,APLD,INNOVATIVE DESIGNS INC,Annual Report - Amended Pink Disclosure Statement,11/15/2021,2021,1,https://www.otcmarkets.com/otcapi/company/financial-report/311686/content
1,APLD,INNOVATIVE DESIGNS INC,Annual Report - Amended Pink Disclosure Statement,11/04/2021,2021,2,https://www.otcmarkets.com/otcapi/company/financial-report/309557/content
2,APLD,INNOVATIVE DESIGNS INC,Annual Report - Amended Pink Disclosure Statement,10/22/2021,2021,3,https://www.otcmarkets.com/otcapi/company/financial-report/307699/content
3,APLD,INNOVATIVE DESIGNS INC,Annual Report - Annual Report,09/10/2021,2021,4,https://www.otcmarkets.com/otcapi/company/financial-report/301644/content
4,APLD,INNOVATIVE DESIGNS INC,Annual Report - Consolidated Financial Statements 2021 and 2020,08/13/2021,2021,5,https://www.otcmarkets.com/otcapi/company/financial-report/295803/content
0,GEGP,INNOVATIVE DESIGNS INC,"Annual Report - Annual Report-Annual Report- Financial Statement for Year Ended January 31, 2022",05/11/2022,2022,1,https://www.otcmarkets.com/otcapi/company/financial-report/332118/content
1,GEGP,INNOVATIVE DESIGNS INC,"Annual Report - Annual Report - Annual Report- Disclosure Statement for Year Ended January 31, 2022",05/11/2022,2022,2,https://www.otcmarkets.com/otcapi/company/financial-report/332116/content
2,GEGP,INNOVATIVE DESIGNS INC,"Annual Report - Annual Report- Disclosure Statement for Year Ended January 31, 2021",09/27/2021,2021,1,https://www.otcmarkets.com/otcapi/company/financial-report/304735/content
3,GEGP,INNOVATIVE DESIGNS INC,"Annual Report - Annual Report- Disclosure Statement for Year Ended January 31, 2020",09/27/2021,2021,2,https://www.otcmarkets.com/otcapi/company/financial-report/304734/content
0,GRCO,INNOVATIVE DESIGNS INC,Annual Report - GRCO Annual Report 2020 FS and Disclosure Statements,09/22/2021,2021,1,https://www.otcmarkets.com/otcapi/company/financial-report/303595/content
1,GRCO,INNOVATIVE DESIGNS INC,Annual Report - GRCO Annual Report 2019 FS and Disclosure Statements,09/22/2021,2021,2,https://www.otcmarkets.com/otcapi/company/financial-report/303592/content
2,GRCO,INNOVATIVE DESIGNS INC,Annual Report - GRCO Annual Report 2019 Updated Rev 2,07/24/2019,2019,1,https://www.otcmarkets.com/otcapi/company/financial-report/225943/content
3,GRCO,INNOVATIVE DESIGNS INC,"Annual Report - GRCO Dec 31, 2018 Annual Report FS new disclosure format",04/30/2019,2019,2,https://www.otcmarkets.com/otcapi/company/financial-report/218456/content
4,GRCO,INNOVATIVE DESIGNS INC,"Annual Report - GRCO Dec 31, 2018 Annual Report with FS and Company Disclosure Info",03/28/2019,2019,3,https://www.otcmarkets.com/otcapi/company/financial-report/214697/content
5,GRCO,INNOVATIVE DESIGNS INC,Attorney Letter with Respect to Current Information - Attorney Letter for Annual Report Year ending 2017,04/19/2018,2018,1,https://www.otcmarkets.com/otcapi/company/financial-report/191332/content
